 ,Area,X,Y,XM,YM,Circ.,%Area,AR,Round,Solidity
326,1.575E-5,5.010,1.970,5.010,1.970,1.000,100.000,1.000,1.000,1.000
327,3.149E-5,5.024,1.974,5.024,1.974,1.000,100.000,2.000,0.500,1.000
328,3.149E-5,4.976,1.984,4.976,1.984,0.785,100.000,2.646,0.378,0.667
329,4.724E-5,5.042,1.985,5.042,1.985,0.754,100.000,2.702,0.370,0.667
330,1.575E-5,5.022,1.986,5.022,1.986,1.000,100.000,1.000,1.000,1.000
331,0.032,1.039,2.104,1.039,2.105,0.436,99.701,1.913,0.523,0.829
332,4.724E-5,4.986,1.991,4.986,1.991,0.754,100.000,2.702,0.370,0.667
333,3.149E-5,5.016,1.998,5.016,1.998,1.000,100.000,2.000,0.500,1.000
334,1.575E-5,5.026,1.998,5.026,1.998,1.000,100.000,1.000,1.000,1.000
335,1.575E-5,4.978,2.002,4.978,2.002,1.000,100.000,1.000,1.000,1.000
336,1.575E-5,4.990,2.002,4.990,2.002,1.000,100.000,1.000,1.000,1.000
337,1.575E-5,4.998,2.002,4.998,2.002,1.000,100.000,1.000,1.000,1.000
338,0.020,4.169,2.084,4.170,2.084,0.917,84.634,1.089,0.918,0.966
339,1.575E-5,5.046,2.010,5.046,2.010,1.000,100.000,1.000,1.000,1.000
340,0.006,2.172,2.059,2.172,2.059,0.843,100.000,1.184,0.845,0.930
341,1.575E-5,5.022,2.014,5.022,2.014,1.000,100.000,1.000,1.000,1.000
342,0.008,0.632,2.067,0.632,2.067,0.833,100.000,1.474,0.678,0.933
343,7.874E-5,5.040,2.021,5.040,2.021,1.000,100.000,1.553,0.644,0.909
344,0.007,0.211,2.070,0.211,2.070,0.875,100.000,1.093,0.915,0.942
345,0.001,5.013,2.034,5.012,2.034,0.258,96.923,1.906,0.525,0.718
346,0.010,1.298,2.076,1.298,2.076,0.889,100.000,1.262,0.792,0.951
347,3.149E-5,4.615,2.026,4.615,2.026,1.000,100.000,2.000,0.500,1.000
348,3.149E-5,4.976,2.026,4.976,2.026,1.000,100.000,2.000,0.500,1.000
349,0.026,2.301,2.124,2.301,2.124,0.887,93.155,1.101,0.908,0.964
350,0.021,0.374,2.116,0.374,2.116,0.865,100.000,1.205,0.830,0.960
351,1.890E-4,4.602,2.043,4.602,2.043,0.231,100.000,2.184,0.458,0.522
352,3.149E-5,4.623,2.038,4.623,2.038,1.000,100.000,2.000,0.500,1.000
353,0.009,2.746,2.096,2.746,2.096,0.862,100.000,1.455,0.687,0.946
354,0.003,4.868,2.075,4.868,2.075,0.659,99.537,1.482,0.675,0.913
355,0.006,0.847,2.089,0.847,2.089,0.835,100.000,1.570,0.637,0.922
356,0.005,1.173,2.092,1.173,2.092,0.876,100.000,1.250,0.800,0.928
357,0.007,1.905,2.098,1.905,2.098,0.784,100.000,1.759,0.569,0.911
358,7.874E-5,4.608,2.055,4.608,2.055,0.491,100.000,2.136,0.468,0.667
359,0.033,1.583,2.153,1.583,2.152,0.767,96.119,1.598,0.626,0.939
360,1.575E-5,4.593,2.065,4.593,2.065,1.000,100.000,1.000,1.000,1.000
361,0.045,2.529,2.213,2.533,2.210,0.806,84.722,1.462,0.684,0.952
362,0.012,3.330,2.157,3.330,2.157,0.866,100.000,1.374,0.728,0.949
363,0.024,3.852,2.186,3.854,2.186,0.895,77.436,1.065,0.939,0.965
364,0.011,3.679,2.161,3.679,2.161,0.864,100.000,1.249,0.801,0.955
365,0.013,0.675,2.184,0.675,2.184,0.904,100.000,1.207,0.828,0.959
366,0.005,2.944,2.166,2.944,2.166,0.913,100.000,1.220,0.820,0.937
367,0.009,1.784,2.186,1.785,2.186,0.865,98.889,1.391,0.719,0.939
368,0.003,2.152,2.168,2.152,2.168,0.906,100.000,1.020,0.980,0.936
369,0.005,0.107,2.179,0.107,2.179,0.899,100.000,1.228,0.814,0.925
370,0.021,3.538,2.226,3.539,2.226,0.864,97.057,1.067,0.938,0.957
371,0.022,4.054,2.235,4.054,2.236,0.881,94.059,1.180,0.848,0.961
372,0.012,2.021,2.223,2.021,2.223,0.887,100.000,1.426,0.701,0.955
373,0.013,3.073,2.224,3.073,2.224,0.816,100.000,1.643,0.609,0.946
374,0.032,0.838,2.258,0.838,2.258,0.903,98.673,1.049,0.953,0.971
375,0.022,1.313,2.233,1.313,2.234,0.864,89.466,1.238,0.808,0.960
376,0.024,2.762,2.247,2.763,2.247,0.809,97.287,1.590,0.629,0.961
377,0.042,0.251,2.312,0.251,2.313,0.809,89.962,1.611,0.621,0.962
378,0.012,2.173,2.263,2.173,2.263,0.899,100.000,1.070,0.934,0.951
379,0.018,0.572,2.284,0.572,2.284,0.898,99.913,1.086,0.921,0.961
380,1.575E-5,5.002,2.208,5.002,2.208,1.000,100.000,1.000,1.000,1.000
381,3.779E-4,4.874,2.229,4.873,2.229,0.348,95.833,1.724,0.580,0.545
382,0.004,0.995,2.252,0.995,2.252,0.922,100.000,1.077,0.929,0.926
383,0.017,1.901,2.302,1.901,2.302,0.838,99.906,1.422,0.703,0.951
384,0.022,3.273,2.294,3.272,2.294,0.857,88.808,1.383,0.723,0.959
385,0.003,2.910,2.258,2.910,2.258,0.900,100.000,1.302,0.768,0.933
386,0.008,4.173,2.295,4.173,2.295,0.702,99.615,1.622,0.617,0.905
387,0.025,1.726,2.337,1.727,2.337,0.870,94.483,1.437,0.696,0.967
388,0.008,2.306,2.292,2.306,2.292,0.877,100.000,1.196,0.836,0.937
389,0.009,0.068,2.308,0.068,2.308,0.854,100.000,1.573,0.636,0.940
390,1.575E-5,4.891,2.248,4.891,2.248,1.000,100.000,1.000,1.000,1.000
391,7.874E-5,4.888,2.260,4.888,2.260,0.873,100.000,1.653,0.605,0.833
392,1.575E-5,4.927,2.264,4.927,2.264,1.000,100.000,1.000,1.000,1.000
393,0.003,1.107,2.299,1.107,2.299,0.883,100.000,1.053,0.949,0.932
394,1.575E-5,4.907,2.268,4.907,2.268,1.000,100.000,1.000,1.000,1.000
395,0.005,1.469,2.310,1.469,2.310,0.948,100.000,1.025,0.976,0.941
396,1.575E-5,4.915,2.272,4.915,2.272,1.000,100.000,1.000,1.000,1.000
397,0.006,1.579,2.322,1.579,2.322,0.881,100.000,1.112,0.899,0.932
398,0.011,3.914,2.340,3.914,2.339,0.934,99.278,1.055,0.948,0.959
399,0.009,4.490,2.334,4.490,2.334,0.880,99.824,1.115,0.897,0.936
400,0.003,4.282,2.325,4.282,2.325,0.728,98.980,1.775,0.563,0.871
401,0.015,1.009,2.369,1.009,2.369,0.896,100.000,1.146,0.872,0.963
402,0.007,3.790,2.361,3.790,2.361,0.834,100.000,1.306,0.766,0.934
403,0.016,3.435,2.399,3.435,2.399,0.904,99.189,1.065,0.939,0.961
404,0.012,3.603,2.380,3.604,2.380,0.728,98.968,1.222,0.819,0.937
405,0.009,1.179,2.390,1.179,2.390,0.917,100.000,1.091,0.917,0.950
406,0.009,0.704,2.397,0.704,2.397,0.882,100.000,1.090,0.917,0.943
407,0.006,3.176,2.396,3.177,2.396,0.645,99.455,1.530,0.653,0.907
408,0.006,4.760,2.403,4.760,2.403,0.863,100.000,1.275,0.784,0.938
409,0.009,2.194,2.401,2.194,2.401,0.799,100.000,1.585,0.631,0.925
410,0.019,2.688,2.413,2.688,2.413,0.820,98.946,1.755,0.570,0.970
411,0.005,4.041,2.406,4.041,2.406,0.876,100.000,1.338,0.747,0.927
412,0.004,4.867,2.411,4.867,2.410,0.499,94.821,1.262,0.792,0.842
413,1.575E-5,5.034,2.435,5.034,2.435,1.000,100.000,1.000,1.000,1.000
414,1.575E-5,5.034,2.446,5.034,2.446,1.000,100.000,1.000,1.000,1.000
415,1.575E-5,4.986,2.466,4.986,2.466,1.000,100.000,1.000,1.000,1.000
416,1.575E-5,4.978,2.478,4.978,2.478,1.000,100.000,1.000,1.000,1.000
